"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
33 - NELSON PIQUET JR - Stock Car Pro
"13:40:16.459","3","1:22.843","144,707","0,0","25.700","0,0","20.510","0,0","36.633","208,8","0.550"
"13:43:05.735","4","2:49.276","70,819","0,0","25.748","0,0","20.588","","","209,6","0.548"
"13:44:39.606","5","1:33.871","127,707","","","0,0","21.761","0,0","37.977","",""
"13:46:04.124","6","1:24.518","141,840","0,0","26.198","0,0","21.521","0,0","36.799","204,7","0.561"
"13:47:26.311","7","1:22.187","145,862","0,0","25.475","0,0","20.396","0,0","36.316","208,4","0.551"
"13:48:48.387","8","1:22.076","146,060","0,0","25.421","0,0","20.302","0,0","36.353","208,8","0.550"
"13:50:10.484","9","1:22.097","146,022","0,0","25.428","0,0","20.300","0,0","36.369","209,2","0.549"
"13:56:25.536","10","6:15.052","31,964","0,0","26.009","0,0","20.885","","","209,6","0.548"
"13:57:56.999","11","1:31.463","131,069","","","0,0","21.469","0,0","37.708","",""
"13:59:22.559","12","1:25.560","140,112","0,0","26.240","0,0","21.732","0,0","37.588","202,5","0.567"
"14:00:43.767","13","1:21.208","147,621","0,0","25.270","0,0","19.986","0,0","35.952","209,9","0.547"
38 - ZEZINHO MUGGIATI - Stock Car Pro
"13:02:11.443","1","1:33.268","128,533","","","0,0","22.096","0,0","38.289","",""
"13:03:41.212","2","1:29.769","133,543","0,0","27.421","0,0","21.051","0,0","41.297","203,3","0.565"
"13:05:04.542","3","1:23.330","143,862","0,0","26.059","0,0","20.578","0,0","36.693","207,7","0.553"
"13:06:27.230","4","1:22.688","144,979","0,0","25.695","0,0","20.511","0,0","36.482","208,0","0.552"
"13:07:49.848","5","1:22.618","145,102","0,0","25.535","0,0","20.523","0,0","36.560","208,0","0.552"
"13:09:12.398","6","1:22.550","145,221","0,0","25.460","0,0","20.617","0,0","36.473","208,4","0.551"
"13:14:44.187","7","5:31.789","36,131","0,0","25.687","0,0","20.626","","","208,0","0.552"
"13:16:11.400","8","1:27.213","137,457","","","0,0","20.637","0,0","36.786","",""
"13:17:37.148","9","1:25.748","139,805","0,0","25.730","0,0","20.588","0,0","39.430","208,4","0.551"
"13:22:06.653","10","4:29.505","44,482","0,0","25.686","0,0","20.589","","","207,3","0.554"
"13:23:37.459","11","1:30.806","132,018","","","0,0","21.501","0,0","37.288","",""
"13:25:02.240","12","1:24.781","141,400","0,0","26.701","0,0","20.871","0,0","37.209","201,8","0.569"
"13:26:23.543","13","1:21.303","147,448","0,0","25.196","0,0","20.160","0,0","35.947","208,4","0.551"
83 - GABRIEL CASAGRANDE - Stock Car Pro
"13:37:30.399","1","1:36.614","124,081","","","0,0","21.813","0,0","39.162","",""
"13:38:55.807","2","1:25.408","140,362","0,0","26.606","0,0","21.054","0,0","37.748","206,9","0.555"
"13:40:18.857","3","1:23.050","144,347","0,0","25.794","0,0","20.598","0,0","36.658","207,7","0.553"
"13:42:55.160","4","2:36.303","76,697","0,0","25.947","0,0","20.645","","","206,5","0.556"
