"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
73 - ENZO ELIAS - Stock Car Pro
"10:42:38.989","10","10","1:22.394","145,496","0,0","25.599","0,0","20.327","0,0","36.468","207,7","0.553"
"10:44:01.278","11","11","1:22.289","145,682","0,0","25.519","0,0","20.295","0,0","36.475","207,7","0.553"
"10:45:55.598","12","12","1:54.320","104,864","0,0","25.684","0,0","20.333","","","207,3","0.554"
"10:47:21.939","13","13","1:26.341","138,845","","","0,0","20.428","0,0","36.636","",""
"10:48:44.440","14","14","1:22.501","145,307","0,0","25.627","0,0","20.325","0,0","36.549","207,3","0.554"
"10:50:06.918","15","15","1:22.478","145,348","0,0","25.607","0,0","20.317","0,0","36.554","207,7","0.553"
"10:51:29.446","16","16","1:22.528","145,260","0,0","25.611","0,0","20.313","0,0","36.604","207,3","0.554"
"10:52:52.084","17","17","1:22.638","145,066","0,0","25.531","0,0","20.354","0,0","36.753","207,7","0.553"
"10:54:14.952","18","18","1:22.868","144,664","0,0","25.594","0,0","20.449","0,0","36.825","208,0","0.552"
"10:55:37.585","19","19","1:22.633","145,075","0,0","25.573","0,0","20.445","0,0","36.615","207,7","0.553"
"10:57:00.302","20","20","1:22.717","144,928","0,0","25.582","0,0","20.445","0,0","36.690","208,8","0.550"
"10:58:22.885","21","21","1:22.583","145,163","0,0","25.568","0,0","20.388","0,0","36.627","208,4","0.551"
"10:59:45.724","22","22","1:22.839","144,714","0,0","25.649","0,0","20.479","0,0","36.711","208,4","0.551"
"11:01:08.639","23","23","1:22.915","144,582","0,0","25.608","0,0","20.352","0,0","36.955","208,8","0.550"
111 - RUBENS BARRICHELLO - Stock Car Pro
"10:30:18.105","1","1","1:28.425","135,573","0,0","30.739","0,0","20.920","0,0","36.766","136,2","0.843"
"10:31:41.018","2","2","1:22.913","144,585","0,0","25.620","0,0","20.717","0,0","36.576","209,9","0.547"
"10:33:04.012","3","3","1:22.994","144,444","0,0","25.782","0,0","20.618","0,0","36.594","209,9","0.547"
"10:34:26.499","4","4","1:22.487","145,332","0,0","25.593","0,0","20.504","0,0","36.390","210,7","0.545"
"10:35:49.109","5","5","1:22.610","145,116","0,0","25.615","0,0","20.556","0,0","36.439","211,1","0.544"
"10:37:11.816","6","6","1:22.707","144,945","0,0","25.656","0,0","20.601","0,0","36.450","211,5","0.543"
"10:39:04.677","7","7","1:52.861","106,219","0,0","25.609","0,0","20.505","","","210,7","0.545"
"10:40:30.725","8","8","1:26.048","139,318","","","0,0","20.506","0,0","36.330","",""
"10:41:52.776","9","9","1:22.051","146,104","0,0","25.447","0,0","20.399","0,0","36.205","209,6","0.548"
"10:43:14.952","10","10","1:22.176","145,882","0,0","25.472","0,0","20.401","0,0","36.303","210,3","0.546"
"10:44:37.165","11","11","1:22.213","145,816","0,0","25.490","0,0","20.467","0,0","36.256","209,9","0.547"
"10:45:59.585","12","12","1:22.420","145,450","0,0","25.428","0,0","20.659","0,0","36.333","209,6","0.548"
"10:47:22.431","13","13","1:22.846","144,702","0,0","25.713","0,0","20.604","0,0","36.529","209,6","0.548"
"10:48:45.065","14","14","1:22.634","145,073","0,0","25.675","0,0","20.545","0,0","36.414","209,9","0.547"
"10:50:07.709","15","15","1:22.644","145,056","0,0","25.572","0,0","20.544","0,0","36.528","210,3","0.546"
"10:51:30.350","16","16","1:22.641","145,061","0,0","25.601","0,0","20.519","0,0","36.521","210,3","0.546"
"10:52:52.869","17","17","1:22.519","145,276","0,0","25.486","0,0","20.535","0,0","36.498","210,7","0.545"
"10:54:15.538","18","18","1:22.669","145,012","0,0","25.562","0,0","20.523","0,0","36.584","211,1","0.544"
"10:55:38.136","19","19","1:22.598","145,137","0,0","25.578","0,0","20.518","0,0","36.502","211,1","0.544"
