Carro;Piloto;Time of Day;Lap;Lap Tm;Lap Tm (Segundos);Speed;S1;S1 Tm;S2;S2 Tm;S3;S3 Tm;SPT;SPT Tm;Stint;Tipo_Volta;Outlier
10;10 - RICARDO ZONTA - Stock Car Pro;13:17:41.106;11,0;1:24.585;84,585;141,727;0,0;25.462;0,0;20.366;0,0;38.757;207,7;0.553;2;Push;False
10;10 - RICARDO ZONTA - Stock Car Pro;13:19:03.806;12,0;1:22.700;82,7;144,958;0,0;25.585;0,0;20.471;0,0;36.644;208,4;0.551;2;Push;False
10;10 - RICARDO ZONTA - Stock Car Pro;13:20:26.376;13,0;1:22.570;82,57;145,186;0,0;25.514;0,0;20.466;0,0;36.590;208,0;0.552;2;Push;False
10;10 - RICARDO ZONTA - Stock Car Pro;13:23:30.877;14,0;3:04.501;184,501;64,975;0,0;28.363;0,0;23.190;;;209,2;0.549;2;In-Lap/Garage;True
10;10 - RICARDO ZONTA - Stock Car Pro;13:25:10.052;15,0;1:39.175;99,175;120,877;;;0,0;23.559;0,0;40.417;;;3;Out-Lap;True
10;10 - RICARDO ZONTA - Stock Car Pro;13:26:37.927;16,0;1:27.875;87,875;136,421;0,0;28.091;0,0;21.997;0,0;37.787;203,6;0.564;3;Push;False
10;10 - RICARDO ZONTA - Stock Car Pro;13:28:04.410;17,0;1:26.483;86,483;138,617;0,0;25.506;0,0;20.350;0,0;40.627;208,0;0.552;3;Push;False
10;10 - RICARDO ZONTA - Stock Car Pro;13:29:26.795;18,0;1:22.385;82,385;145,512;0,0;25.502;0,0;20.453;0,0;36.430;209,2;0.549;3;Push;False
11;11 - GAETANO DI MAURO - Stock Car Pro;13:37:28.839;1,0;1:39.263;99,263;120,77;;;0,0;22.702;0,0;39.786;;;1;Push;True
11;11 - GAETANO DI MAURO - Stock Car Pro;13:38:53.616;2,0;1:24.777;84,777;141,406;0,0;25.998;0,0;21.048;0,0;37.731;206,5;0.556;1;Push;False
11;11 - GAETANO DI MAURO - Stock Car Pro;13:40:16.459;3,0;1:22.843;82,843;144,707;0,0;25.700;0,0;20.510;0,0;36.633;208,8;0.550;1;Push;False
11;11 - GAETANO DI MAURO - Stock Car Pro;13:43:05.735;4,0;2:49.276;169,276;70,819;0,0;25.748;0,0;20.588;;;209,6;0.548;1;In-Lap/Garage;True
11;11 - GAETANO DI MAURO - Stock Car Pro;13:44:39.606;5,0;1:33.871;93,871;127,707;;;0,0;21.761;0,0;37.977;;;2;Out-Lap;True
11;11 - GAETANO DI MAURO - Stock Car Pro;13:46:04.124;6,0;1:24.518;84,518;141,84;0,0;26.198;0,0;21.521;0,0;36.799;204,7;0.561;2;Push;False
11;11 - GAETANO DI MAURO - Stock Car Pro;13:47:26.311;7,0;1:22.187;82,187;145,862;0,0;25.475;0,0;20.396;0,0;36.316;208,4;0.551;2;Push;False
11;11 - GAETANO DI MAURO - Stock Car Pro;13:48:48.387;8,0;1:22.076;82,076;146,06;0,0;25.421;0,0;20.302;0,0;36.353;208,8;0.550;2;Push;False
11;11 - GAETANO DI MAURO - Stock Car Pro;13:50:10.484;9,0;1:22.097;82,097;146,022;0,0;25.428;0,0;20.300;0,0;36.369;209,2;0.549;2;Push;False
11;11 - GAETANO DI MAURO - Stock Car Pro;13:56:25.536;10,0;6:15.052;375,052;31,964;0,0;26.009;0,0;20.885;;;209,6;0.548;2;In-Lap/Garage;True
11;11 - GAETANO DI MAURO - Stock Car Pro;13:57:56.999;11,0;1:31.463;91,463;131,069;;;0,0;21.469;0,0;37.708;;;3;Out-Lap;True
11;11 - GAETANO DI MAURO - Stock Car Pro;13:59:22.559;12,0;1:25.560;85,56;140,112;0,0;26.240;0,0;21.732;0,0;37.588;202,5;0.567;3;Push;False
11;11 - GAETANO DI MAURO - Stock Car Pro;14:00:43.767;13,0;1:21.208;81,208;147,621;0,0;25.270;0,0;19.986;0,0;35.952;209,9;0.547;3;Push;False
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:37:21.383;1,0;1:35.785;95,785;125,155;;;0,0;22.557;0,0;39.076;;;1;Push;True
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:38:48.065;2,0;1:26.682;86,682;138,299;0,0;26.667;0,0;21.294;0,0;38.721;206,2;0.557;1;Push;False
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:40:11.671;3,0;1:23.606;83,606;143,387;0,0;25.730;0,0;20.843;0,0;37.033;208,0;0.552;1;Push;False
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:41:34.843;4,0;1:23.172;83,172;144,135;0,0;25.703;0,0;20.658;0,0;36.811;207,7;0.553;1;Push;False
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:46:11.082;5,0;4:36.239;276,239;43,397;0,0;27.401;0,0;21.634;;;207,7;0.553;1;In-Lap/Garage;True
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:47:47.570;6,0;1:36.488;96,488;124,243;;;0,0;21.482;0,0;37.627;;;2;Out-Lap;True
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:49:10.447;7,0;1:22.877;82,877;144,648;0,0;25.677;0,0;20.566;0,0;36.634;207,3;0.554;2;Push;False
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:50:33.372;8,0;1:22.925;82,925;144,564;0,0;25.554;0,0;20.580;0,0;36.791;206,9;0.555;2;Push;False
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:51:56.215;9,0;1:22.843;82,843;144,707;0,0;25.574;0,0;20.549;0,0;36.720;206,9;0.555;2;Push;False
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:57:27.583;10,0;5:31.368;331,368;36,177;0,0;28.187;0,0;21.871;;;208,0;0.552;2;In-Lap/Garage;True
111;111 - RUBENS BARRICHELLO - Stock Car Pro;13:59:06.873;11,0;1:39.290;99,29;120,737;;;0,0;23.407;0,0;40.056;;;3;Out-Lap;True
111;111 - RUBENS BARRICHELLO - Stock Car Pro;14:00:35.155;12,0;1:28.282;88,282;135,792;0,0;26.988;0,0;21.970;0,0;39.324;206,2;0.557;3;Push;False
111;111 - RUBENS BARRICHELLO - Stock Car Pro;14:02:04.134;13,0;1:28.979;88,979;134,728;0,0;29.228;0,0;22.566;0,0;37.185;209,2;0.549;3;Push;False
111;111 - RUBENS BARRICHELLO - Stock Car Pro;14:03:26.000;14,0;1:21.866;81,866;146,434;0,0;25.322;0,0;20.382;0,0;36.162;209,6;0.548;3;Push;False
12;12 - LUCAS FORESTI - Stock Car Pro;13:02:17.185;1,0;1:35.142;95,142;126,001;;;0,0;22.196;0,0;40.096;;;1;Push;True
12;12 - LUCAS FORESTI - Stock Car Pro;13:03:48.998;2,0;1:31.813;91,813;130,57;0,0;28.826;0,0;21.155;0,0;41.832;130,1;0.883;1;Push;True
12;12 - LUCAS FORESTI - Stock Car Pro;13:05:12.612;3,0;1:23.614;83,614;143,373;0,0;26.068;0,0;20.538;0,0;37.008;206,2;0.557;1;Push;False
12;12 - LUCAS FORESTI - Stock Car Pro;13:06:35.956;4,0;1:23.344;83,344;143,838;0,0;25.925;0,0;20.604;0,0;36.815;206,2;0.557;1;Push;False
12;12 - LUCAS FORESTI - Stock Car Pro;13:09:54.835;5,0;3:18.879;198,879;60,278;0,0;25.827;0,0;20.474;;;205,8;0.558;1;In-Lap/Garage;True
12;12 - LUCAS FORESTI - Stock Car Pro;13:11:23.331;6,0;1:28.496;88,496;135,464;;;0,0;20.934;0,0;36.951;;;2;Out-Lap;True
12;12 - LUCAS FORESTI - Stock Car Pro;13:12:46.799;7,0;1:23.468;83,468;143,624;0,0;26.067;0,0;20.571;0,0;36.830;205,4;0.559;2;Push;False
12;12 - LUCAS FORESTI - Stock Car Pro;13:16:17.402;8,0;3:30.603;210,603;56,922;0,0;25.930;0,0;20.958;;;206,2;0.557;2;In-Lap/Garage;True
12;12 - LUCAS FORESTI - Stock Car Pro;13:17:45.493;9,0;1:28.091;88,091;136,087;;;0,0;20.629;0,0;36.891;;;3;Out-Lap;True
12;12 - LUCAS FORESTI - Stock Car Pro;13:19:08.633;10,0;1:23.140;83,14;144,191;0,0;25.763;0,0;20.531;0,0;36.846;206,2;0.557;3;Push;False
12;12 - LUCAS FORESTI - Stock Car Pro;13:21:30.671;11,0;2:22.038;142,038;84,4;0,0;25.724;0,0;20.421;;;206,9;0.555;3;In-Lap/Garage;True
12;12 - LUCAS FORESTI - Stock Car Pro;13:23:02.776;12,0;1:32.105;92,105;130,156;;;0,0;22.008;0,0;39.135;;;4;Out-Lap;True
12;12 - LUCAS FORESTI - Stock Car Pro;13:24:30.610;13,0;1:27.834;87,834;136,485;0,0;29.070;0,0;21.035;0,0;37.729;153,3;0.749;4;Push;False
12;12 - LUCAS FORESTI - Stock Car Pro;13:25:59.583;14,0;1:28.973;88,973;134,738;0,0;28.960;0,0;21.401;0,0;38.612;144,1;0.797;4;Push;True
12;12 - LUCAS FORESTI - Stock Car Pro;13:27:21.173;15,0;1:21.590;81,59;146,93;0,0;25.233;0,0;20.102;0,0;36.255;205,8;0.558;4;Push;False
12;12 - LUCAS FORESTI - Stock Car Pro;13:28:42.853;16,0;1:21.680;81,68;146,768;0,0;25.269;0,0;20.183;0,0;36.228;206,2;0.557;4;Push;False
121;121 - FELIPE BAPTISTA - Stock Car Pro;13:24:41.466;1,0;1:49.630;109,63;109,35;;;0,0;26.173;0,0;46.171;;;1;Push;True
121;121 - FELIPE BAPTISTA - Stock Car Pro;13:26:09.537;2,0;1:28.071;88,071;136,117;0,0;26.964;0,0;21.610;0,0;39.497;201,1;0.571;1;Push;True
121;121 - FELIPE BAPTISTA - Stock Car Pro;13:27:32.020;3,0;1:22.483;82,483;145,339;0,0;25.535;0,0;20.530;0,0;36.418;206,5;0.556;1;Push;False
121;121 - FELIPE BAPTISTA - Stock Car Pro;13:28:53.955;4,0;1:21.935;81,935;146,311;0,0;25.388;0,0;20.286;0,0;36.261;206,5;0.556;1;Push;False
121;121 - FELIPE BAPTISTA - Stock Car Pro;13:30:16.513;5,0;1:22.558;82,558;145,207;0,0;25.675;0,0;20.428;0,0;36.455;206,5;0.556;1;Push;False
18;18 - ALLAM KHODAIR - Stock Car Pro;13:37:48.511;1,0;1:42.375;102,375;117,099;;;0,0;25.857;0,0;42.254;;;1;Push;True
18;18 - ALLAM KHODAIR - Stock Car Pro;13:39:23.962;2,0;1:35.451;95,451;125,593;0,0;29.407;0,0;23.951;0,0;42.093;174,0;0.660;1;Push;True
18;18 - ALLAM KHODAIR - Stock Car Pro;13:40:54.136;3,0;1:30.174;90,174;132,943;0,0;27.707;0,0;23.375;0,0;39.092;183,5;0.626;1;Push;False
18;18 - ALLAM KHODAIR - Stock Car Pro;13:42:22.039;4,0;1:27.903;87,903;136,378;0,0;28.025;0,0;22.682;0,0;37.196;160,2;0.717;1;Push;False
18;18 - ALLAM KHODAIR - Stock Car Pro;13:43:45.298;5,0;1:23.259;83,259;143,984;0,0;25.668;0,0;20.796;0,0;36.795;207,7;0.553;1;Push;False
18;18 - ALLAM KHODAIR - Stock Car Pro;13:50:05.831;6,0;6:20.533;380,533;31,503;0,0;25.836;0,0;20.734;;;207,3;0.554;1;In-Lap/Garage;True
18;18 - ALLAM KHODAIR - Stock Car Pro;13:51:36.146;7,0;1:30.315;90,315;132,735;;;0,0;21.400;0,0;37.072;;;2;Out-Lap;True
18;18 - ALLAM KHODAIR - Stock Car Pro;13:53:03.162;8,0;1:27.016;87,016;137,768;0,0;28.104;0,0;21.551;0,0;37.361;206,9;0.555;2;Push;False
18;18 - ALLAM KHODAIR - Stock Car Pro;13:54:26.259;9,0;1:23.097;83,097;144,265;0,0;25.636;0,0;20.549;0,0;36.912;207,7;0.553;2;Push;False
18;18 - ALLAM KHODAIR - Stock Car Pro;13:58:59.196;10,0;4:32.937;272,937;43,922;0,0;25.624;0,0;20.613;;;207,7;0.553;2;In-Lap/Garage;True
18;18 - ALLAM KHODAIR - Stock Car Pro;14:00:30.312;11,0;1:31.116;91,116;131,569;;;0,0;22.275;0,0;37.964;;;3;Out-Lap;True
18;18 - ALLAM KHODAIR - Stock Car Pro;14:01:55.923;12,0;1:25.611;85,611;140,029;0,0;25.870;0,0;20.985;0,0;38.756;207,3;0.554;3;Push;True
18;18 - ALLAM KHODAIR - Stock Car Pro;14:03:17.508;13,0;1:21.585;81,585;146,939;0,0;25.134;0,0;20.299;0,0;36.152;208,8;0.550;3;Push;False
18;18 - ALLAM KHODAIR - Stock Car Pro;14:04:38.978;14,0;1:21.470;81,47;147,146;0,0;25.223;0,0;20.051;0,0;36.196;207,7;0.553;3;Push;False
19;19 - FELIPE MASSA - Stock Car Pro;13:02:13.347;1,0;1:33.329;93,329;128,449;;;0,0;22.614;0,0;38.602;;;1;Push;True
