Carro;Stint;Degradacao (s/volta);Ritmo_Base (s);Voltas_Limpas;Consistencia_R2
10;1;0,075;84,867;5;0,005
22;3;-0,269;85,26;7;0,252
27;1;-0,107;83,693;5;0,877
73;1;-0,299;84,7;5;0,123
80;1;0,368;84,256;6;0,08
81;1;-0,07;83,668;5;0,015
83;2;-0,375;84,637;5;0,479
444;2;-0,32;84,846;5;0,505
444;3;-0,597;84,048;5;0,686
